"concID";"pollutantID";"stationID";"year";"concentration";"pctValid";"measurementCode";"population"
261;"NO2";"AT60139";2001;27.0;94.0;"100";46408
262;"NO2";"AT60139";2002;29.0;95.0;"100";46408
263;"NO2";"AT60139";2003;34.0;93.0;"100";58010
264;"NO2";"AT60139";2004;29.0;94.0;"100";46408
265;"NO2";"AT60139";2005;32.0;95.0;"100";58010
266;"NO2";"AT60139";2006;33.0;95.0;"100";58010
267;"NO2";"AT60139";2007;30.0;95.0;"100";58010
268;"NO2";"AT60139";2008;29.0;92.0;"100";58010
269;"NO2";"AT60139";2009;28.0;94.0;"100";58010
270;"NO2";"AT60139";2010;31.0;95.0;"100";77346
271;"NO2";"AT60139";2011;31.0;94.0;"100";58010
272;"NO2";"AT60139";2012;26.0;93.0;"100";58010
273;"NO2";"AT60140";1990;39.0;88.0;"100";46408
274;"NO2";"AT60140";1991;43.0;93.0;"100";46408
275;"NO2";"AT60140";1992;26.0;90.0;"100";46408
276;"NO2";"AT60140";1993;27.0;93.0;"100";46408
277;"NO2";"AT60140";1994;30.0;90.0;"100";46408
278;"NO2";"AT60140";1995;33.0;96.0;"100";46408
279;"NO2";"AT60140";1996;34.0;97.0;"100";38673
280;"NO2";"AT60140";1997;36.0;89.0;"100";38673
281;"NO2";"AT60140";1998;35.0;91.0;"100";38673
282;"NO2";"AT60140";1999;36.0;96.0;"100";38673
283;"NO2";"AT60140";2000;36.0;94.0;"100";46408
284;"NO2";"AT60140";2001;33.0;93.0;"100";46408
285;"NO2";"AT60140";2002;32.0;94.0;"100";46408
286;"NO2";"AT60160";1990;55.0;86.0;"500";46408
287;"NO2";"AT60160";1991;55.0;92.0;"500";46408
288;"NO2";"AT60160";1992;48.0;83.0;"500";46408
289;"NO2";"AT60160";1993;46.0;86.0;"500";46408
290;"NO2";"AT60160";1994;44.0;83.0;"500";46408
291;"NO2";"AT60160";1995;39.0;92.0;"500";46408
292;"NO2";"AT60160";1996;48.0;95.0;"500";38673
293;"NO2";"AT60160";1997;46.0;86.0;"500";38673
294;"NO2";"AT60160";1998;46.0;90.0;"500";38673
295;"NO2";"AT60160";1999;40.0;91.0;"500";38673
296;"NO2";"AT60160";2000;37.0;86.0;"500";46408
297;"NO2";"AT60160";2001;42.0;87.0;"500";46408
298;"NO2";"AT60160";2002;42.0;94.0;"500";46408
299;"NO2";"AT60160";2003;45.0;94.0;"500";58010
300;"NO2";"AT60160";2004;39.0;88.0;"500";46408
301;"NO2";"AT60160";2005;42.0;88.0;"500";58010
302;"NO2";"AT60160";2006;45.0;94.0;"500";58010
303;"NO2";"AT60160";2007;43.0;95.0;"500";58010
304;"NO2";"AT60160";2008;42.0;91.0;"500";58010
305;"NO2";"AT60160";2009;40.0;87.0;"500";58010
306;"NO2";"AT60161";1990;33.0;86.0;"100";46408
307;"NO2";"AT60161";1991;40.0;91.0;"100";46408
308;"NO2";"AT60161";1992;39.0;88.0;"100";46408
309;"NO2";"AT60161";1993;34.0;88.0;"100";46408
310;"NO2";"AT60161";1994;29.0;85.0;"100";46408
311;"NO2";"AT60161";1995;29.0;94.0;"100";46408
312;"NO2";"AT60161";1996;33.0;90.0;"100";38673
313;"NO2";"AT60161";1997;33.0;93.0;"100";38673
314;"NO2";"AT60161";1998;31.0;95.0;"100";38673
315;"NO2";"AT60161";1999;24.0;94.0;"100";38673
316;"NO2";"AT60161";2000;23.0;95.0;"100";46408
317;"NO2";"AT60161";2001;27.0;95.0;"100";46408
318;"NO2";"AT60161";2002;25.0;95.0;"100";46408
319;"NO2";"AT60161";2003;27.0;95.0;"100";58010
320;"NO2";"AT60161";2004;25.0;85.0;"100";46408
321;"NO2";"AT60162";1996;26.0;93.0;"100";38673
322;"NO2";"AT60162";1997;26.0;92.0;"100";38673
323;"NO2";"AT60162";1998;30.0;92.0;"100";38673
324;"NO2";"AT60162";1999;25.0;85.0;"100";38673
325;"NO2";"AT60164";2000;51.0;84.0;"100";15866
326;"NO2";"AT60164";2001;55.0;94.0;"100";15866
327;"NO2";"AT60164";2002;44.0;91.0;"100";15866
328;"NO2";"AT60164";2003;54.0;94.0;"100";15866
329;"NO2";"AT60164";2004;49.0;90.0;"100";15866
330;"NO2";"AT60164";2005;53.0;95.0;"100";15866
331;"NO2";"AT60164";2006;54.0;95.0;"100";15866
332;"NO2";"AT60164";2007;50.0;88.0;"100";7933
333;"NO2";"AT60164";2008;49.0;91.0;"100";7933
334;"NO2";"AT60164";2009;47.0;95.0;"100";7933
335;"NO2";"AT60164";2010;51.0;94.0;"100";7933
336;"NO2";"AT60164";2011;50.0;95.0;"100";7933
337;"NO2";"AT60164";2012;47.0;95.0;"100";7933
338;"NO2";"AT60170";2004;36.0;94.0;"100";46408
339;"NO2";"AT60170";2005;38.0;92.0;"100";58010
340;"NO2";"AT60170";2006;38.0;92.0;"100";58010
341;"NO2";"AT60170";2007;34.0;95.0;"100";58010
342;"NO2";"AT60170";2008;33.0;92.0;"100";58010
343;"NO2";"AT60170";2009;31.0;95.0;"100";58010
344;"NO2";"AT60170";2010;34.0;95.0;"100";77346
345;"NO2";"AT60170";2011;35.0;95.0;"100";58010
346;"NO2";"AT60170";2012;32.0;95.0;"100";58010
347;"NO2";"AT60171";2007;31.0;95.0;"100";7933
348;"NO2";"AT60171";2008;30.0;92.0;"100";7933
349;"NO2";"AT60171";2009;30.0;95.0;"100";7933
350;"NO2";"AT60171";2010;32.0;92.0;"100";7933
351;"NO2";"AT60171";2011;32.0;95.0;"100";7933
352;"NO2";"AT60171";2012;31.0;96.0;"100";7933
353;"NO2";"AT60172";2011;36.0;95.0;"100";58010
354;"NO2";"AT60172";2012;33.0;95.0;"100";58010
355;"NO2";"AT72106";1988;58.0;98.0;"100";7086
356;"NO2";"AT72106";1989;55.0;98.0;"100";3543
357;"NO2";"AT72106";1990;39.0;95.0;"100";3543
358;"NO2";"AT72106";1991;38.0;99.0;"100";3543
359;"NO2";"AT72106";1992;43.0;99.0;"100";3543
360;"NO2";"AT72106";1993;38.0;99.0;"100";3543
361;"NO2";"AT72106";1994;29.0;98.0;"100";3543
362;"NO2";"AT72106";1995;32.0;99.0;"100";3543
363;"NO2";"AT72106";1996;35.0;96.0;"100";3543
364;"NO2";"AT72106";1997;36.0;99.0;"100";3543
365;"NO2";"AT72106";1998;37.0;99.0;"100";3543
366;"NO2";"AT72106";1999;37.0;95.0;"100";3543
367;"NO2";"AT72106";2000;33.0;94.0;"100";3543
368;"NO2";"AT72106";2001;36.0;95.0;"100";3543
369;"NO2";"AT72106";2002;36.0;93.0;"100";3543
370;"NO2";"AT72106";2003;40.0;95.0;"100";3543
371;"NO2";"AT72106";2004;41.0;95.0;"100";3543
372;"NO2";"AT72106";2005;42.0;95.0;"100";3543
373;"NO2";"AT72106";2006;42.0;96.0;"100";3543
374;"NO2";"AT72106";2007;39.0;96.0;"100";3543
375;"NO2";"AT72106";2008;37.0;95.0;"100";3543
376;"NO2";"AT72106";2009;38.0;96.0;"100";3543
377;"NO2";"AT72106";2010;37.0;95.0;"100";3543
378;"NO2";"AT72106";2011;40.0;96.0;"100";3543
379;"NO2";"AT72106";2012;37.0;96.0;"100";3543
380;"NO2";"AT72110";1989;98.0;99.0;"500";3543
381;"NO2";"AT72110";1990;54.0;99.0;"500";3543
382;"NO2";"AT72110";1991;44.0;92.0;"500";3543
383;"NO2";"AT72110";1992;42.0;98.0;"500";3543
384;"NO2";"AT72110";1993;38.0;99.0;"500";3543
385;"NO2";"AT72110";1994;40.0;94.0;"500";3543
386;"NO2";"AT72110";1995;40.0;99.0;"500";3543
387;"NO2";"AT72110";1996;34.0;95.0;"500";3543
